SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,SHAPE_BIMODAL_01_L1,SHAPE_BIMODAL_01_L2,SHAPE_BIMODAL_01_L3,SHAPE_BIMODAL_01_L4,SHAPE_BIMODAL_02_L1,SHAPE_BIMODAL_02_L2,SHAPE_BIMODAL_02_L3,SHAPE_BIMODAL_02_L4,SHAPE_BIMODAL_SKEW_01_L1,SHAPE_BIMODAL_SKEW_01_L2,SHAPE_BIMODAL_SKEW_01_L3,SHAPE_BIMODAL_SKEW_01_L4,SHAPE_BIMODAL_SKEW_02_L1,SHAPE_BIMODAL_SKEW_02_L2,SHAPE_BIMODAL_SKEW_02_L3,SHAPE_BIMODAL_SKEW_02_L4,SHAPE_TRIMODAL_01_L1,SHAPE_TRIMODAL_01_L2,SHAPE_TRIMODAL_01_L3,SHAPE_TRIMODAL_01_L4,SHAPE_TRIMODAL_02_L1,SHAPE_TRIMODAL_02_L2,SHAPE_TRIMODAL_02_L3,SHAPE_TRIMODAL_02_L4,SHAPE_TAILFLIP_01_L1,SHAPE_TAILFLIP_01_L2,SHAPE_TAILFLIP_01_L3,SHAPE_TAILFLIP_01_L4,SHAPE_TAILFLIP_02_L1,SHAPE_TAILFLIP_02_L2,SHAPE_TAILFLIP_02_L3,SHAPE_TAILFLIP_02_L4,SHAPE_TAIL_ONESIDE_01_L1,SHAPE_TAIL_ONESIDE_01_L2,SHAPE_TAIL_ONESIDE_01_L3,SHAPE_TAIL_ONESIDE_01_L4,SHAPE_TAIL_ONESIDE_02_L1,SHAPE_TAIL_ONESIDE_02_L2,SHAPE_TAIL_ONESIDE_02_L3,SHAPE_TAIL_ONESIDE_02_L4,SHAPE_TAIL_BOTH_01_L1,SHAPE_TAIL_BOTH_01_L2,SHAPE_TAIL_BOTH_01_L3,SHAPE_TAIL_BOTH_01_L4,SHAPE_UNIFORM_01_L1,SHAPE_UNIFORM_01_L2,SHAPE_UNIFORM_01_L3,SHAPE_UNIFORM_01_L4,SHAPE_UNIFORM_02_L1,SHAPE_UNIFORM_02_L2,SHAPE_UNIFORM_02_L3,SHAPE_UNIFORM_02_L4,SHAPE_PLATEAU_01_L1,SHAPE_PLATEAU_01_L2,SHAPE_PLATEAU_01_L3,SHAPE_PLATEAU_01_L4,SHAPE_SKEW_R_01_L1,SHAPE_SKEW_R_01_L2,SHAPE_SKEW_R_01_L3,SHAPE_SKEW_R_01_L4,SHAPE_SKEWFLIP_01_L1,SHAPE_SKEWFLIP_01_L2,SHAPE_SKEWFLIP_01_L3,SHAPE_SKEWFLIP_01_L4,SHAPE_OUTLIER_01_L1,SHAPE_OUTLIER_01_L2,SHAPE_OUTLIER_01_L3,SHAPE_OUTLIER_01_L4,SHAPE_OUTLIER_02_L1,SHAPE_OUTLIER_02_L2,SHAPE_OUTLIER_02_L3,SHAPE_OUTLIER_02_L4,SHAPE_SPIKE_01_L1,SHAPE_SPIKE_01_L2,SHAPE_SPIKE_01_L3,SHAPE_SPIKE_01_L4,SHAPE_SPIKE_02_L1,SHAPE_SPIKE_02_L2,SHAPE_SPIKE_02_L3,SHAPE_SPIKE_02_L4,SHAPE_TRUNC_01_L1,SHAPE_TRUNC_01_L2,SHAPE_TRUNC_01_L3,SHAPE_TRUNC_01_L4,DISC_GRAIN_01_L1,DISC_GRAIN_01_L2,DISC_GRAIN_01_L3,DISC_GRAIN_01_L4,DISC_GRAIN_02_L1,DISC_GRAIN_02_L2,DISC_GRAIN_02_L3,DISC_GRAIN_02_L4,DISC_TO_CONT_01_L1,DISC_TO_CONT_01_L2,DISC_TO_CONT_01_L3,DISC_TO_CONT_01_L4,DISC_BIMODAL_01_L1,DISC_BIMODAL_01_L2,DISC_BIMODAL_01_L3,DISC_BIMODAL_01_L4,DISC_BIMODAL_02_L1,DISC_BIMODAL_02_L2,DISC_BIMODAL_02_L3,DISC_BIMODAL_02_L4,DISC_LEVELSHIFT_01_L1,DISC_LEVELSHIFT_01_L2,DISC_LEVELSHIFT_01_L3,DISC_LEVELSHIFT_01_L4,DISC_SPARSE_01_L1,DISC_SPARSE_01_L2,DISC_SPARSE_01_L3,DISC_SPARSE_01_L4,POS_SEPARATE_01_L1,POS_SEPARATE_01_L2,POS_SEPARATE_01_L3,POS_SEPARATE_01_L4,POS_SEPARATE_02_L1,POS_SEPARATE_02_L2,POS_SEPARATE_02_L3,POS_SEPARATE_02_L4,POS_OVERLAP_SAME_01_L1,POS_OVERLAP_SAME_01_L2,POS_OVERLAP_SAME_02_L1,POS_OVERLAP_SAME_02_L2,POS_OVERLAP_SAME_03_L1,POS_OVERLAP_SAME_03_L2,POS_SHIFT_SMALL_01_L1,POS_SHIFT_SMALL_01_L2,POS_SHIFT_SMALL_01_L3,POS_SHIFT_SMALL_01_L4,POS_SHIFT_SMALL_02_L1,POS_SHIFT_SMALL_02_L2,POS_SHIFT_SMALL_02_L3,POS_SHIFT_SMALL_02_L4,SD_UP_01_L1,SD_UP_01_L2,SD_UP_01_L3,SD_UP_01_L4,SD_UP_02_L1,SD_UP_02_L2,SD_UP_02_L3,SD_UP_02_L4,SD_UP_MEAN_DOWN_01_L1,SD_UP_MEAN_DOWN_01_L2,SD_UP_MEAN_DOWN_01_L3,SD_UP_MEAN_DOWN_01_L4,MIX_TAIL_VS_BIMODAL_01_L1,MIX_TAIL_VS_BIMODAL_01_L2,MIX_TAIL_VS_BIMODAL_01_L3,MIX_TAIL_VS_BIMODAL_01_L4,MIX_TAIL_VS_BIMODAL_02_L1,MIX_TAIL_VS_BIMODAL_02_L2,MIX_TAIL_VS_BIMODAL_02_L3,MIX_TAIL_VS_BIMODAL_02_L4,MIX_UNIFORM_VS_SPIKE_01_L1,MIX_UNIFORM_VS_SPIKE_01_L2,MIX_UNIFORM_VS_SPIKE_01_L3,MIX_UNIFORM_VS_SPIKE_01_L4,MIX_OUTLIER_VS_TAIL_01_L1,MIX_OUTLIER_VS_TAIL_01_L2,MIX_OUTLIER_VS_TAIL_01_L3,MIX_OUTLIER_VS_TAIL_01_L4,CPK_LOW_01_L1,CPK_LOW_01_L2,CPK_LOW_01_L3,CPK_LOW_01_L4,FP_LOWCPK_NOCHANGE_01_L1,FP_LOWCPK_NOCHANGE_01_L2,FP_LOWCPK_NOCHANGE_02_L1,FP_LOWCPK_NOCHANGE_02_L2,FP_LOWCPK_NOCHANGE_03_L1,FP_LOWCPK_NOCHANGE_03_L2,FP_LOWCPK_IMPROVED_01_L1,FP_LOWCPK_IMPROVED_01_L2,FP_LOWCPK_IMPROVED_02_L1,FP_LOWCPK_IMPROVED_02_L2,FP_LOWCPK_IMPROVED_03_L1,FP_LOWCPK_IMPROVED_03_L2,FP_SD_IMPROVED_01_L1,FP_SD_IMPROVED_01_L2,FP_SD_IMPROVED_02_L1,FP_SD_IMPROVED_02_L2,FP_SD_IMPROVED_03_L1,FP_SD_IMPROVED_03_L2,FP_TINY_SIGMA_01_L1,FP_TINY_SIGMA_01_L2,FP_TINY_SIGMA_02_L1,FP_TINY_SIGMA_02_L2,FP_TINY_SIGMA_03_L1,FP_TINY_SIGMA_03_L2,FP_DISCRETE_JITTER_01_L1,FP_DISCRETE_JITTER_01_L2,FP_DISCRETE_JITTER_02_L1,FP_DISCRETE_JITTER_02_L2,FP_DISCRETE_JITTER_03_L1,FP_DISCRETE_JITTER_03_L2,FP_OUTLIER_FEW_01_L1,FP_OUTLIER_FEW_01_L2,FP_OUTLIER_FEW_02_L1,FP_OUTLIER_FEW_02_L2,FP_OUTLIER_FEW_03_L1,FP_OUTLIER_FEW_03_L2
TSEQ,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202
TNO,,,,,,,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043,1044,1045,1046,1047,1048,1049,1050,1051,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1062,1063,1064,1065,1066,1067,1068,1069,1070,1071,1072,1073,1074,1075,1076,1077,1078,1079,1080,1081,1082,1083,1084,1085,1086,1087,1088,1089,1090,1091,1092,1093,1094,1095,1096,1097,1098,1099,1100,1101,1102,1103,1104,1105,1106,1107,1108,1109,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1120,1121,1122,1123,1124,1125,1126,1127,1128,1129,1130,1131,1132,1133,1134,1135,1136,1137,1138,1139,1140,1141,1142,1143,1144,1145,1146,1147,1148,1149,1150,1151,1152,1153,1154,1155,1156,1157,1158,1159,1160,1161,1162,1163,1164,1165,1166,1167,1168,1169,1170,1171,1172,1173,1174,1175,1176,1177,1178,1179,1180,1181,1182,1183,1184,1185,1186,1187,1188,1189,1190,1191,1192,1193,1194,1195,1196,1197,1198,1199,1200,1201,1202
STEP,,,,,,,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2
UNIT,,,,,,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
HILIM,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
LOLIM,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C000000,1,1,18,0,1,,4.998840,3.149376,4.975552,3.743314,6.933852,5.427532,6.500891,7.060295,6.168371,3.939611,3.724318,3.332442,5.035201,4.143500,4.279554,4.542885,5.292607,6.043536,5.134204,5.409088,3.464318,4.979295,4.305636,4.320342,4.859122,5.492553,5.696075,6.676210,3.953855,3.536296,5.002775,4.909184,7.069734,5.435637,4.760792,4.089147,2.714635,2.633179,4.748849,6.152060,5.683208,6.583345,5.493612,3.587840,4.668415,4.718159,5.210617,4.467928,5.547124,5.198668,4.086737,4.451467,5.021124,3.736032,5.682595,3.148348,4.529801,5.394025,5.792389,5.536244,4.816143,6.229855,4.061210,4.868153,3.679276,4.219095,3.197817,6.308130,5.012276,5.799862,6.466643,4.057561,4.634834,5.595608,5.303346,5.149161,3.908285,4.022400,4.244569,5.221835,5.930973,4.899004,5.283808,4.690582,5.989583,5.208333,4.947917,4.427083,4.166667,7.291667,3.906250,4.427083,7.031250,6.770833,5.208333,4.166667,1.562500,3.125000,5.208333,4.687500,7.812500,5.208333,6.250000,4.687500,6.250000,4.166667,5.208333,7.291667,4.687500,4.687500,4.687500,4.687500,4.225891,2.292247,1.660221,1.409603,4.713804,4.097422,2.354781,0.307252,3.751779,5.348892,4.883885,3.625328,5.689551,4.504465,4.536287,3.902439,4.284268,3.618149,4.758469,5.065753,5.379172,5.550528,4.636473,3.903957,4.985344,5.743748,5.237321,5.841959,4.008498,3.216385,4.999046,4.612162,5.617654,5.471741,4.886383,6.580786,6.746930,4.901353,4.150804,4.868877,5.096607,4.698972,5.176158,5.340010,4.585324,5.397075,4.978085,4.195655,4.190970,4.898918,5.181064,4.967690,4.045716,4.042448,4.760467,7.650316,6.218028,6.354685,7.097122,5.351240,8.810341,7.364367,6.070117,6.210222,6.962567,7.489387,4.710596,4.432756,4.166424,5.717751,5.117581,5.049408,5.055491,4.956917,4.990630,4.872688,4.918437,5.043697,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,6.662213,3.954299,5.324616,8.559068,4.391205,5.533921
C000001,1,2,13,1,1,,5.499122,4.634306,5.489625,3.758853,5.771122,6.185841,5.729652,5.376118,4.384246,5.471347,4.962864,4.801204,5.358451,4.555979,5.233813,5.332880,5.847575,4.365250,5.216420,5.019951,3.963433,6.256506,6.814370,5.604530,6.066780,5.500626,5.956590,3.994283,5.335095,4.364159,4.543503,4.360870,6.080017,6.845299,3.676028,5.455749,5.356409,5.459392,4.066760,4.797774,5.134264,5.873925,5.668725,4.077397,4.749769,5.311733,3.904144,6.225913,3.451039,4.476450,4.885841,4.683025,3.257815,5.586546,4.743231,5.652788,4.911557,3.623596,6.122134,5.089210,4.903834,5.474939,5.908501,4.331463,3.188887,5.202744,5.064998,4.766762,5.632852,2.992905,2.989215,4.033084,5.784775,4.177666,5.289384,6.951967,5.492660,4.506710,4.228247,5.886627,5.789273,5.022059,3.885693,3.824283,5.989583,5.468750,3.906250,3.125000,4.427083,4.427083,5.468750,4.947917,7.552083,5.729167,5.208333,4.166667,3.125000,4.166667,5.729167,4.687500,5.208333,4.687500,5.208333,7.291667,3.125000,5.208333,5.208333,5.208333,4.687500,3.125000,4.687500,4.687500,3.372119,3.672756,1.960204,1.177289,3.636806,4.300622,2.016243,1.225583,5.309371,5.562748,5.782745,5.551684,5.384041,5.267256,3.349068,7.622478,4.253916,5.591060,5.803516,7.083667,6.520866,6.106191,4.815292,5.140717,4.606838,4.171149,5.756630,6.945953,5.159906,4.806478,4.179945,3.877952,5.486295,4.988888,4.408163,4.448702,3.699773,3.963495,4.833750,5.253124,4.778849,4.333244,2.945579,5.882866,5.097653,6.219517,5.956042,4.306407,4.229305,5.703631,3.869874,6.625826,4.494969,5.168219,6.766442,8.066647,6.403864,7.275010,5.980992,6.042239,7.495193,8.356062,5.942870,6.467833,7.649097,7.149244,4.361264,5.444398,4.940188,6.002444,5.536684,3.975694,4.958883,5.047809,4.928754,5.044890,5.042032,4.965200,6.666667,5.000000,5.000000,5.000000,5.000000,5.000000,6.745070,5.156267,5.037248,3.637783,6.880037,4.242260
C000002,1,3,14,1,1,,5.864965,5.763150,5.794563,5.116281,6.493376,4.702290,6.737859,3.942286,5.534317,4.084356,3.668343,3.726873,3.270973,4.206694,4.103160,3.059558,3.957852,5.400278,4.390893,3.726993,5.808069,3.028467,4.819034,4.942345,3.843135,5.992176,5.151559,4.278644,3.070361,4.855301,4.299465,7.221176,5.187639,5.640690,5.352939,3.823483,4.692437,6.277485,4.826762,5.106190,5.967252,5.456924,5.520932,4.854385,4.293358,5.375229,4.606404,3.740650,4.303510,5.072290,3.479356,5.461233,4.722002,6.006161,5.803272,4.753153,5.637286,4.271115,5.231224,4.199699,5.667226,4.255649,4.038257,4.586445,5.404420,4.513383,3.993666,5.809578,4.824380,2.977111,4.464305,5.580973,5.272272,4.903711,6.055695,6.464909,2.757205,6.277639,7.008112,7.205469,6.625842,5.851206,6.700472,5.408907,4.947917,4.166667,5.468750,4.166667,5.208333,3.645833,4.947917,3.645833,5.989583,4.687500,6.250000,6.250000,4.687500,6.770833,6.250000,4.166667,5.729167,5.729167,4.166667,3.645833,6.250000,4.166667,5.208333,4.166667,6.250000,6.250000,3.125000,6.250000,4.143371,3.610708,1.834115,1.467124,4.590126,3.296371,2.419334,0.619840,5.398645,6.134953,5.251205,3.175085,5.946075,4.880613,3.941228,3.893933,4.433107,5.976481,4.141038,3.656551,5.471189,6.499885,3.378014,4.636081,5.152325,5.180975,3.573028,6.094313,6.758835,6.979453,4.424175,6.167101,6.596124,4.511536,4.908495,3.067576,5.110948,3.114321,4.669875,4.247378,5.761548,7.067119,5.997178,5.941998,4.890848,3.523936,4.394745,4.753112,5.522268,4.757536,5.898922,5.042403,5.220001,3.481100,7.970364,7.428514,5.661274,7.091895,5.472791,7.452000,6.791473,6.317666,7.522101,6.126205,6.869530,6.434065,4.837955,4.418352,4.180544,4.335888,5.037302,4.953473,4.951083,5.062800,5.065177,4.912989,5.166293,4.975142,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.245472,5.640065,5.053284,4.865646,5.273758,5.116273
C000003,1,4,15,1,1,,5.734868,6.272929,3.067451,4.655249,5.693778,4.243603,5.812527,4.633685,5.105324,5.087346,7.119224,4.724260,3.848435,4.337703,5.351102,5.469710,3.571914,4.426661,5.449276,4.789615,4.396810,5.124884,4.494534,4.247644,4.922348,5.924969,4.498888,3.748615,5.820143,5.679069,4.894590,4.898215,4.847422,5.199626,4.115286,6.351094,4.889082,4.774447,5.894008,6.178909,6.478497,5.060559,5.275942,4.873030,4.722599,5.525339,4.559835,5.356817,5.560482,4.238646,4.130531,3.999359,5.650052,4.638045,5.901289,3.526080,4.695078,6.312792,4.557986,5.138148,5.011986,4.458930,6.810445,6.163471,4.316719,3.508021,6.129034,4.828931,5.175300,6.349963,5.007790,5.459448,3.694129,6.811001,7.027905,6.764228,6.182001,4.640753,2.743478,2.523200,4.066216,5.395092,4.272205,4.318233,6.510417,3.645833,5.729167,6.250000,4.166667,6.770833,4.947917,5.468750,3.645833,5.729167,6.250000,4.166667,4.166667,4.687500,3.125000,4.687500,4.166667,4.687500,5.729167,5.208333,4.166667,5.208333,5.208333,6.250000,4.687500,3.125000,4.687500,6.250000,3.676680,3.930840,1.680674,0.748881,4.457748,3.175483,2.692348,0.933047,6.457064,5.201556,5.013404,3.810553,4.078134,5.016457,4.703240,4.900126,5.279727,6.653656,5.979100,6.214370,4.908622,4.939570,7.042079,6.040683,6.048892,5.534882,5.893100,5.229436,5.444630,5.229778,4.776809,5.067143,3.811261,4.819305,4.817815,4.689311,3.514562,5.417415,6.929314,4.764568,6.175238,4.683492,3.975314,5.373227,6.643365,5.026644,5.391537,5.624749,8.163452,4.750778,4.668340,7.266728,3.042753,3.870720,6.692954,6.017614,4.822656,7.960365,6.615401,8.000683,4.922256,7.349569,7.963324,9.133916,8.407515,6.973784,3.641255,4.604195,4.114345,5.083813,6.133252,4.612619,4.898704,4.931539,4.896472,4.919800,5.076743,4.971741,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.377962,4.222710,4.289959,5.482180,5.850479,6.036290
