item,case,level,level_ko,desc,blind_by_design,fp_by_design,current_focus,blind_spot,over_detect,cpk_ratio_pct,stdev_delta_pct,ks_d,meanshift_sigma,median_shift,iqr_delta_pct,p_mean,p_stdev,before_avg,before_stdev,before_cpk,after_avg,after_stdev,after_cpk
SHAPE_BIMODAL_01_L1,SHAPE_BIMODAL,1,L1 차이 거의 없음,정규 → 쌍봉 (μ·σ 동일),1,0,0,0,0,100.0,-2e-06,0.0238,0.0,0.0034,4.608138,1.0,0.70059,5.0,1.0416666680098279,1.6,5.0,1.0416666465725446,1.6
SHAPE_BIMODAL_01_L2,SHAPE_BIMODAL,2,L2 자세히 보면 다름,정규 → 쌍봉 (μ·σ 동일),1,0,0,0,0,100.0,-1e-06,0.0377,0.0,0.0184,14.243264,1.0,0.226596,5.0,1.041666679083058,1.6,5.0,1.0416666703200728,1.6
SHAPE_BIMODAL_01_L3,SHAPE_BIMODAL,3,L3 확실히 다름,정규 → 쌍봉 (μ·σ 동일),1,0,0,1,0,100.0,-1e-06,0.1417,0.0,0.0315,33.462828,1.0,0.0,5.0,1.0416666696850514,1.6,5.0,1.0416666627480333,1.6
SHAPE_BIMODAL_01_L4,SHAPE_BIMODAL,4,L4 누가 봐도 완전히 다름,정규 → 쌍봉 (μ·σ 동일),1,0,1,0,0,100.0,-2e-06,0.2507,0.0,0.3912,46.393804,1.0,0.0,5.0,1.0416666818456208,1.6,5.0,1.0416666653931927,1.6
SHAPE_BIMODAL_02_L1,SHAPE_BIMODAL,1,L1 차이 거의 없음,정규 → 쌍봉 (μ·σ 동일),1,0,0,0,0,100.0,-1e-06,0.0278,0.0,0.0138,2.29154,1.0,0.834591,5.0,1.0416666780162718,1.6,5.0,1.0416666691774694,1.6
SHAPE_BIMODAL_02_L2,SHAPE_BIMODAL,2,L2 자세히 보면 다름,정규 → 쌍봉 (μ·σ 동일),1,0,0,0,0,100.0,-0.0,0.0436,0.0,0.0054,17.017137,1.0,0.153838,5.0,1.0416666697977068,1.6,5.0,1.0416666669977106,1.6
SHAPE_BIMODAL_02_L3,SHAPE_BIMODAL,3,L3 확실히 다름,정규 → 쌍봉 (μ·σ 동일),1,0,0,1,0,100.0,1e-06,0.1199,0.0,0.0453,31.937908,1.0,0.0,5.0,1.0416666557559977,1.6,5.0,1.0416666665366872,1.6
SHAPE_BIMODAL_02_L4,SHAPE_BIMODAL,4,L4 누가 봐도 완전히 다름,정규 → 쌍봉 (μ·σ 동일),1,0,1,0,0,100.0,-0.0,0.2666,0.0,0.3759,46.657455,1.0,0.0,5.0,1.0416666777027146,1.6,5.0,1.0416666766001406,1.6
SHAPE_BIMODAL_SKEW_01_L1,SHAPE_BIMODAL_SKEW,1,L1 차이 거의 없음,정규 → 비대칭 쌍봉(소수 모드 혼입),1,0,0,0,0,100.0,0.0,0.0367,0.0,0.0101,5.185298,1.0,0.715354,5.0,1.041666669882129,1.6,5.0,1.041666670736611,1.6
SHAPE_BIMODAL_SKEW_01_L2,SHAPE_BIMODAL_SKEW,2,L2 자세히 보면 다름,정규 → 비대칭 쌍봉(소수 모드 혼입),1,0,0,0,0,100.0,-1e-06,0.0505,0.0,0.0352,18.492186,1.0,0.350597,5.0,1.0416666847387521,1.6,5.0,1.041666679417971,1.6
SHAPE_BIMODAL_SKEW_01_L3,SHAPE_BIMODAL_SKEW,3,L3 확실히 다름,정규 → 비대칭 쌍봉(소수 모드 혼입),1,0,0,1,0,100.0,1e-06,0.0684,0.0,0.0379,23.232523,1.0,0.141318,5.0,1.0416666469363494,1.6,5.0,1.0416666574233937,1.6
SHAPE_BIMODAL_SKEW_01_L4,SHAPE_BIMODAL_SKEW,4,L4 누가 봐도 완전히 다름,정규 → 비대칭 쌍봉(소수 모드 혼입),1,0,0,1,0,100.0,-0.0,0.11,0.0,0.1416,39.00321,1.0,0.024341,5.0,1.0416666744345915,1.6,5.0,1.04166667008177,1.6
SHAPE_BIMODAL_SKEW_02_L1,SHAPE_BIMODAL_SKEW,1,L1 차이 거의 없음,정규 → 비대칭 쌍봉(소수 모드 혼입),1,0,0,0,0,100.0,-0.0,0.0287,0.0,0.0009,-3.154253,1.0,0.586948,5.0,1.0416666640006267,1.6,5.0,1.0416666612175973,1.6
SHAPE_BIMODAL_SKEW_02_L2,SHAPE_BIMODAL_SKEW,2,L2 자세히 보면 다름,정규 → 비대칭 쌍봉(소수 모드 혼입),1,0,0,0,0,100.0,1e-06,0.0377,0.0,0.0044,5.378043,1.0,0.516401,5.0,1.04166666129784,1.6,5.0,1.041666668986804,1.6
SHAPE_BIMODAL_SKEW_02_L3,SHAPE_BIMODAL_SKEW,3,L3 확실히 다름,정규 → 비대칭 쌍봉(소수 모드 혼입),1,0,0,1,0,100.0,0.0,0.0535,0.0,0.0105,16.596138,1.0,0.229929,5.0,1.0416666654807065,1.6,5.0,1.0416666695270214,1.6
SHAPE_BIMODAL_SKEW_02_L4,SHAPE_BIMODAL_SKEW,4,L4 누가 봐도 완전히 다름,정규 → 비대칭 쌍봉(소수 모드 혼입),1,0,0,1,0,100.0,-1e-06,0.0942,0.0,0.07,28.104928,1.0,0.079896,5.0,1.0416666771514371,1.6,5.0,1.0416666701821062,1.6
SHAPE_TRIMODAL_01_L1,SHAPE_TRIMODAL,1,L1 차이 거의 없음,정규 → 삼봉(사이트 혼입),1,0,0,0,0,100.0,1e-06,0.0218,0.0,0.0163,3.664374,1.0,0.820026,5.0,1.0416666726794377,1.6,5.0,1.041666679273722,1.6
SHAPE_TRIMODAL_01_L2,SHAPE_TRIMODAL,2,L2 자세히 보면 다름,정규 → 삼봉(사이트 혼입),1,0,0,0,0,100.0,3e-06,0.0327,0.0,0.0004,3.017013,1.0,0.494952,5.0,1.0416666498865583,1.6,5.0,1.041666678324737,1.6
SHAPE_TRIMODAL_01_L3,SHAPE_TRIMODAL,3,L3 확실히 다름,정규 → 삼봉(사이트 혼입),1,0,0,1,0,100.0,3e-06,0.0823,0.0,0.0298,40.099698,1.0,0.00894,5.0,1.0416666581490388,1.6,5.0,1.041666686807061,1.6
SHAPE_TRIMODAL_01_L4,SHAPE_TRIMODAL,4,L4 누가 봐도 완전히 다름,정규 → 삼봉(사이트 혼입),1,0,1,0,0,100.0,-1e-06,0.1566,0.0,0.0022,69.22748,1.0,0.053543,5.0,1.0416666673891417,1.6,5.0,1.0416666575715219,1.6
SHAPE_TRIMODAL_02_L1,SHAPE_TRIMODAL,1,L1 차이 거의 없음,정규 → 삼봉(사이트 혼입),1,0,0,0,0,100.0,-1e-06,0.0218,0.0,0.003,-4.441561,1.0,0.821926,5.0,1.0416666616374037,1.6,5.0,1.0416666539894648,1.6
SHAPE_TRIMODAL_02_L2,SHAPE_TRIMODAL,2,L2 자세히 보면 다름,정규 → 삼봉(사이트 혼입),1,0,0,0,0,100.0,0.0,0.0347,0.0,0.0479,3.605118,1.0,0.7708,5.0,1.041666658206778,1.6,5.0,1.0416666604893128,1.6
SHAPE_TRIMODAL_02_L3,SHAPE_TRIMODAL,3,L3 확실히 다름,정규 → 삼봉(사이트 혼입),1,0,0,1,0,100.0,2e-06,0.0743,0.0,0.0102,32.529441,1.0,0.026766,5.0,1.041666665396599,1.6,5.0,1.041666683979064,1.6
SHAPE_TRIMODAL_02_L4,SHAPE_TRIMODAL,4,L4 누가 봐도 완전히 다름,정규 → 삼봉(사이트 혼입),1,0,1,0,0,100.0,0.0,0.1576,0.0,0.004,68.345706,1.0,0.077312,5.0,1.04166666102342,1.6,5.0,1.0416666650489375,1.6
SHAPE_TAILFLIP_01_L1,SHAPE_TAILFLIP,1,L1 차이 거의 없음,"꼬리 방향 반전 (위→아래, μ·σ 동일)",1,0,0,0,0,100.0,-3e-06,0.0317,0.0,0.0024,6.254586,1.0,0.610381,5.0,1.041666686510711,1.6,5.0,1.041666654816527,1.6
SHAPE_TAILFLIP_01_L2,SHAPE_TAILFLIP,2,L2 자세히 보면 다름,"꼬리 방향 반전 (위→아래, μ·σ 동일)",1,0,0,0,0,100.0,-2e-06,0.0258,0.0,0.0337,-1.535497,1.0,0.926217,5.0,1.0416666830190375,1.6,5.0,1.0416666635439424,1.6
SHAPE_TAILFLIP_01_L3,SHAPE_TAILFLIP,3,L3 확실히 다름,"꼬리 방향 반전 (위→아래, μ·σ 동일)",1,0,0,1,0,100.0,1e-06,0.0852,0.0,0.1404,1.03336,1.0,0.776629,5.0,1.0416666571433524,1.6,5.0,1.0416666669506234,1.6
SHAPE_TAILFLIP_01_L4,SHAPE_TAILFLIP,4,L4 누가 봐도 완전히 다름,"꼬리 방향 반전 (위→아래, μ·σ 동일)",1,0,1,0,0,100.0,-1e-06,0.1923,0.0,0.3529,-3.942721,1.0,0.980275,5.0,1.0416666777655303,1.6,5.0,1.0416666624738142,1.6
SHAPE_TAILFLIP_02_L1,SHAPE_TAILFLIP,1,L1 차이 거의 없음,"꼬리 방향 반전 (위→아래, μ·σ 동일)",1,0,0,0,0,100.0,-1e-06,0.0218,0.0,0.0184,6.976951,1.0,0.612903,5.0,1.0416666732061903,1.6,5.0,1.0416666622268267,1.6
SHAPE_TAILFLIP_02_L2,SHAPE_TAILFLIP,2,L2 자세히 보면 다름,"꼬리 방향 반전 (위→아래, μ·σ 동일)",1,0,0,0,0,100.0,-2e-06,0.0396,0.0,0.0091,-6.713979,1.0,0.582033,5.0,1.0416666729241866,1.6,5.0,1.041666647811095,1.6
SHAPE_TAILFLIP_02_L3,SHAPE_TAILFLIP,3,L3 확실히 다름,"꼬리 방향 반전 (위→아래, μ·σ 동일)",1,0,0,1,0,100.0,0.0,0.0872,0.0,0.152,-0.287045,1.0,0.943464,5.0,1.041666672547748,1.6,5.0,1.0416666728935116,1.6
SHAPE_TAILFLIP_02_L4,SHAPE_TAILFLIP,4,L4 누가 봐도 완전히 다름,"꼬리 방향 반전 (위→아래, μ·σ 동일)",1,0,1,0,0,100.0,1e-06,0.2091,0.0,0.3712,-1.03218,1.0,0.991583,5.0,1.0416666642958505,1.6,5.0,1.041666679226911,1.6
SHAPE_TAIL_ONESIDE_01_L1,SHAPE_TAIL_ONESIDE,1,L1 차이 거의 없음,정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),1,0,0,0,0,100.0,-2e-06,0.0228,0.0,0.0185,-0.113657,1.0,0.936916,5.0,1.041666675552121,1.6,5.0,1.0416666522422984,1.6
SHAPE_TAIL_ONESIDE_01_L2,SHAPE_TAIL_ONESIDE,2,L2 자세히 보면 다름,정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),1,0,0,0,0,100.0,-2e-06,0.0218,0.0,0.0197,-0.321949,1.0,0.878025,5.0,1.041666677214017,1.6,5.0,1.04166665759259,1.6
SHAPE_TAIL_ONESIDE_01_L3,SHAPE_TAIL_ONESIDE,3,L3 확실히 다름,정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),1,0,0,1,0,100.0,-0.0,0.0505,0.0,0.0394,-5.619015,1.0,0.383908,5.0,1.0416666708994584,1.6,5.0,1.041666669759689,1.6
SHAPE_TAIL_ONESIDE_01_L4,SHAPE_TAIL_ONESIDE,4,L4 누가 봐도 완전히 다름,정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),1,0,0,1,0,100.0,-2e-06,0.112,0.0,0.1294,-23.419634,1.0,0.010052,5.0,1.041666682528525,1.6,5.0,1.0416666597823627,1.6
SHAPE_TAIL_ONESIDE_02_L1,SHAPE_TAIL_ONESIDE,1,L1 차이 거의 없음,정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),1,0,0,0,0,100.0,-1e-06,0.0168,0.0,0.0085,3.028855,1.0,0.952592,5.0,1.0416666691572947,1.6,5.0,1.0416666599835194,1.6
SHAPE_TAIL_ONESIDE_02_L2,SHAPE_TAIL_ONESIDE,2,L2 자세히 보면 다름,정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),1,0,0,0,0,100.0,1e-06,0.0377,0.0,0.0185,5.641733,1.0,0.587223,5.0,1.0416666515738922,1.6,5.0,1.0416666608992857,1.6
SHAPE_TAIL_ONESIDE_02_L3,SHAPE_TAIL_ONESIDE,3,L3 확실히 다름,정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),1,0,0,1,0,100.0,1e-06,0.0624,0.0,0.0711,-10.996656,1.0,0.293528,5.0,1.041666660386192,1.6,5.0,1.0416666682639466,1.6
SHAPE_TAIL_ONESIDE_02_L4,SHAPE_TAIL_ONESIDE,4,L4 누가 봐도 완전히 다름,정규 → 한쪽 꼬리 (σ 는 재정규화로 동일),1,0,0,1,0,100.0,1e-06,0.1318,0.0,0.103,-30.768773,1.0,0.000534,5.0,1.0416666636152756,1.6,5.0,1.0416666710109834,1.6
SHAPE_TAIL_BOTH_01_L1,SHAPE_TAIL_BOTH,1,L1 차이 거의 없음,정규 → 양쪽 꼬리(몸통 수축),1,0,0,0,0,100.0,-1e-06,0.0208,0.0,0.0065,0.452464,1.0,0.835362,5.0,1.0416666644247927,1.6,5.0,1.041666658105828,1.6
SHAPE_TAIL_BOTH_01_L2,SHAPE_TAIL_BOTH,2,L2 자세히 보면 다름,정규 → 양쪽 꼬리(몸통 수축),1,0,0,0,0,100.0,-0.0,0.0347,0.0,0.0428,-3.735089,1.0,0.635957,5.0,1.0416666732011057,1.6,5.0,1.0416666719907623,1.6
SHAPE_TAIL_BOTH_01_L3,SHAPE_TAIL_BOTH,3,L3 확실히 다름,정규 → 양쪽 꼬리(몸통 수축),1,0,0,1,0,100.0,2e-06,0.0644,0.0,0.0196,-15.508472,1.0,0.076615,5.0,1.041666651134859,1.6,5.0,1.0416666755290305,1.6
SHAPE_TAIL_BOTH_01_L4,SHAPE_TAIL_BOTH,4,L4 누가 봐도 완전히 다름,정규 → 양쪽 꼬리(몸통 수축),1,0,0,1,0,100.0,0.0,0.0823,0.0,0.0231,-33.855713,1.0,0.004879,5.0,1.0416666652879114,1.6,5.0,1.0416666684893514,1.6
SHAPE_UNIFORM_01_L1,SHAPE_UNIFORM,1,L1 차이 거의 없음,정규 → 균등(평평한 몸통),1,0,0,0,0,100.0,1e-06,0.0357,0.0,0.0125,9.790377,1.0,0.450054,5.0,1.0416666734912519,1.6,5.0,1.0416666819239593,1.6
SHAPE_UNIFORM_01_L2,SHAPE_UNIFORM,2,L2 자세히 보면 다름,정규 → 균등(평평한 몸통),1,0,0,0,0,100.0,0.0,0.0416,0.0,0.0225,15.829882,1.0,0.251655,5.0,1.0416666751740937,1.6,5.0,1.04166667825634,1.6
SHAPE_UNIFORM_01_L3,SHAPE_UNIFORM,3,L3 확실히 다름,정규 → 균등(평평한 몸통),1,0,0,1,0,100.0,1e-06,0.0723,0.0,0.0125,31.184491,1.0,0.00577,5.0,1.04166665765489,1.6,5.0,1.0416666629607072,1.6
SHAPE_UNIFORM_01_L4,SHAPE_UNIFORM,4,L4 누가 봐도 완전히 다름,정규 → 균등(평평한 몸통),1,0,0,1,0,100.0,-1e-06,0.0644,0.0,0.0055,25.234614,1.0,0.013963,5.0,1.0416666843316738,1.6,5.0,1.0416666755659685,1.6
SHAPE_UNIFORM_02_L1,SHAPE_UNIFORM,1,L1 차이 거의 없음,정규 → 균등(평평한 몸통),1,0,0,0,0,100.0,0.0,0.0357,0.0,0.0059,2.931569,1.0,0.655545,5.0,1.0416666593383672,1.6,5.0,1.0416666628223876,1.6
SHAPE_UNIFORM_02_L2,SHAPE_UNIFORM,2,L2 자세히 보면 다름,정규 → 균등(평평한 몸통),1,0,0,0,0,100.0,-2e-06,0.0396,0.0,0.0057,10.294724,1.0,0.188368,5.0,1.0416666864785098,1.6,5.0,1.0416666676856603,1.6
SHAPE_UNIFORM_02_L3,SHAPE_UNIFORM,3,L3 확실히 다름,정규 → 균등(평평한 몸통),1,0,0,1,0,100.0,-1e-06,0.0664,0.0,0.0217,25.604023,1.0,0.006112,5.0,1.0416666708898294,1.6,5.0,1.0416666595579456,1.6
SHAPE_UNIFORM_02_L4,SHAPE_UNIFORM,4,L4 누가 봐도 완전히 다름,정규 → 균등(평평한 몸통),1,0,0,1,0,100.0,1e-06,0.0674,0.0,0.055,29.182729,1.0,0.025418,5.0,1.04166665835679,1.6,5.0,1.041666666976481,1.6
