SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,SHAPE_BIMODAL_01_L1,SHAPE_BIMODAL_01_L2,SHAPE_BIMODAL_01_L3,SHAPE_BIMODAL_01_L4,SHAPE_BIMODAL_02_L1,SHAPE_BIMODAL_02_L2,SHAPE_BIMODAL_02_L3,SHAPE_BIMODAL_02_L4,SHAPE_BIMODAL_SKEW_01_L1,SHAPE_BIMODAL_SKEW_01_L2,SHAPE_BIMODAL_SKEW_01_L3,SHAPE_BIMODAL_SKEW_01_L4,SHAPE_BIMODAL_SKEW_02_L1,SHAPE_BIMODAL_SKEW_02_L2,SHAPE_BIMODAL_SKEW_02_L3,SHAPE_BIMODAL_SKEW_02_L4,SHAPE_TRIMODAL_01_L1,SHAPE_TRIMODAL_01_L2,SHAPE_TRIMODAL_01_L3,SHAPE_TRIMODAL_01_L4,SHAPE_TRIMODAL_02_L1,SHAPE_TRIMODAL_02_L2,SHAPE_TRIMODAL_02_L3,SHAPE_TRIMODAL_02_L4,SHAPE_TAILFLIP_01_L1,SHAPE_TAILFLIP_01_L2,SHAPE_TAILFLIP_01_L3,SHAPE_TAILFLIP_01_L4,SHAPE_TAILFLIP_02_L1,SHAPE_TAILFLIP_02_L2,SHAPE_TAILFLIP_02_L3,SHAPE_TAILFLIP_02_L4,SHAPE_TAIL_ONESIDE_01_L1,SHAPE_TAIL_ONESIDE_01_L2,SHAPE_TAIL_ONESIDE_01_L3,SHAPE_TAIL_ONESIDE_01_L4,SHAPE_TAIL_ONESIDE_02_L1,SHAPE_TAIL_ONESIDE_02_L2,SHAPE_TAIL_ONESIDE_02_L3,SHAPE_TAIL_ONESIDE_02_L4,SHAPE_TAIL_BOTH_01_L1,SHAPE_TAIL_BOTH_01_L2,SHAPE_TAIL_BOTH_01_L3,SHAPE_TAIL_BOTH_01_L4,SHAPE_UNIFORM_01_L1,SHAPE_UNIFORM_01_L2,SHAPE_UNIFORM_01_L3,SHAPE_UNIFORM_01_L4,SHAPE_UNIFORM_02_L1,SHAPE_UNIFORM_02_L2,SHAPE_UNIFORM_02_L3,SHAPE_UNIFORM_02_L4,SHAPE_PLATEAU_01_L1,SHAPE_PLATEAU_01_L2,SHAPE_PLATEAU_01_L3,SHAPE_PLATEAU_01_L4,SHAPE_SKEW_R_01_L1,SHAPE_SKEW_R_01_L2,SHAPE_SKEW_R_01_L3,SHAPE_SKEW_R_01_L4,SHAPE_SKEWFLIP_01_L1,SHAPE_SKEWFLIP_01_L2,SHAPE_SKEWFLIP_01_L3,SHAPE_SKEWFLIP_01_L4,SHAPE_OUTLIER_01_L1,SHAPE_OUTLIER_01_L2,SHAPE_OUTLIER_01_L3,SHAPE_OUTLIER_01_L4,SHAPE_OUTLIER_02_L1,SHAPE_OUTLIER_02_L2,SHAPE_OUTLIER_02_L3,SHAPE_OUTLIER_02_L4,SHAPE_SPIKE_01_L1,SHAPE_SPIKE_01_L2,SHAPE_SPIKE_01_L3,SHAPE_SPIKE_01_L4,SHAPE_SPIKE_02_L1,SHAPE_SPIKE_02_L2,SHAPE_SPIKE_02_L3,SHAPE_SPIKE_02_L4,SHAPE_TRUNC_01_L1,SHAPE_TRUNC_01_L2,SHAPE_TRUNC_01_L3,SHAPE_TRUNC_01_L4,DISC_GRAIN_01_L1,DISC_GRAIN_01_L2,DISC_GRAIN_01_L3,DISC_GRAIN_01_L4,DISC_GRAIN_02_L1,DISC_GRAIN_02_L2,DISC_GRAIN_02_L3,DISC_GRAIN_02_L4,DISC_TO_CONT_01_L1,DISC_TO_CONT_01_L2,DISC_TO_CONT_01_L3,DISC_TO_CONT_01_L4,DISC_BIMODAL_01_L1,DISC_BIMODAL_01_L2,DISC_BIMODAL_01_L3,DISC_BIMODAL_01_L4,DISC_BIMODAL_02_L1,DISC_BIMODAL_02_L2,DISC_BIMODAL_02_L3,DISC_BIMODAL_02_L4,DISC_LEVELSHIFT_01_L1,DISC_LEVELSHIFT_01_L2,DISC_LEVELSHIFT_01_L3,DISC_LEVELSHIFT_01_L4,DISC_SPARSE_01_L1,DISC_SPARSE_01_L2,DISC_SPARSE_01_L3,DISC_SPARSE_01_L4,POS_SEPARATE_01_L1,POS_SEPARATE_01_L2,POS_SEPARATE_01_L3,POS_SEPARATE_01_L4,POS_SEPARATE_02_L1,POS_SEPARATE_02_L2,POS_SEPARATE_02_L3,POS_SEPARATE_02_L4,POS_OVERLAP_SAME_01_L1,POS_OVERLAP_SAME_01_L2,POS_OVERLAP_SAME_02_L1,POS_OVERLAP_SAME_02_L2,POS_OVERLAP_SAME_03_L1,POS_OVERLAP_SAME_03_L2,POS_SHIFT_SMALL_01_L1,POS_SHIFT_SMALL_01_L2,POS_SHIFT_SMALL_01_L3,POS_SHIFT_SMALL_01_L4,POS_SHIFT_SMALL_02_L1,POS_SHIFT_SMALL_02_L2,POS_SHIFT_SMALL_02_L3,POS_SHIFT_SMALL_02_L4,SD_UP_01_L1,SD_UP_01_L2,SD_UP_01_L3,SD_UP_01_L4,SD_UP_02_L1,SD_UP_02_L2,SD_UP_02_L3,SD_UP_02_L4,SD_UP_MEAN_DOWN_01_L1,SD_UP_MEAN_DOWN_01_L2,SD_UP_MEAN_DOWN_01_L3,SD_UP_MEAN_DOWN_01_L4,MIX_TAIL_VS_BIMODAL_01_L1,MIX_TAIL_VS_BIMODAL_01_L2,MIX_TAIL_VS_BIMODAL_01_L3,MIX_TAIL_VS_BIMODAL_01_L4,MIX_TAIL_VS_BIMODAL_02_L1,MIX_TAIL_VS_BIMODAL_02_L2,MIX_TAIL_VS_BIMODAL_02_L3,MIX_TAIL_VS_BIMODAL_02_L4,MIX_UNIFORM_VS_SPIKE_01_L1,MIX_UNIFORM_VS_SPIKE_01_L2,MIX_UNIFORM_VS_SPIKE_01_L3,MIX_UNIFORM_VS_SPIKE_01_L4,MIX_OUTLIER_VS_TAIL_01_L1,MIX_OUTLIER_VS_TAIL_01_L2,MIX_OUTLIER_VS_TAIL_01_L3,MIX_OUTLIER_VS_TAIL_01_L4,CPK_LOW_01_L1,CPK_LOW_01_L2,CPK_LOW_01_L3,CPK_LOW_01_L4,FP_LOWCPK_NOCHANGE_01_L1,FP_LOWCPK_NOCHANGE_01_L2,FP_LOWCPK_NOCHANGE_02_L1,FP_LOWCPK_NOCHANGE_02_L2,FP_LOWCPK_NOCHANGE_03_L1,FP_LOWCPK_NOCHANGE_03_L2,FP_LOWCPK_IMPROVED_01_L1,FP_LOWCPK_IMPROVED_01_L2,FP_LOWCPK_IMPROVED_02_L1,FP_LOWCPK_IMPROVED_02_L2,FP_LOWCPK_IMPROVED_03_L1,FP_LOWCPK_IMPROVED_03_L2,FP_SD_IMPROVED_01_L1,FP_SD_IMPROVED_01_L2,FP_SD_IMPROVED_02_L1,FP_SD_IMPROVED_02_L2,FP_SD_IMPROVED_03_L1,FP_SD_IMPROVED_03_L2,FP_TINY_SIGMA_01_L1,FP_TINY_SIGMA_01_L2,FP_TINY_SIGMA_02_L1,FP_TINY_SIGMA_02_L2,FP_TINY_SIGMA_03_L1,FP_TINY_SIGMA_03_L2,FP_DISCRETE_JITTER_01_L1,FP_DISCRETE_JITTER_01_L2,FP_DISCRETE_JITTER_02_L1,FP_DISCRETE_JITTER_02_L2,FP_DISCRETE_JITTER_03_L1,FP_DISCRETE_JITTER_03_L2,FP_OUTLIER_FEW_01_L1,FP_OUTLIER_FEW_01_L2,FP_OUTLIER_FEW_02_L1,FP_OUTLIER_FEW_02_L2,FP_OUTLIER_FEW_03_L1,FP_OUTLIER_FEW_03_L2
TSEQ,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202
TNO,,,,,,,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043,1044,1045,1046,1047,1048,1049,1050,1051,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1062,1063,1064,1065,1066,1067,1068,1069,1070,1071,1072,1073,1074,1075,1076,1077,1078,1079,1080,1081,1082,1083,1084,1085,1086,1087,1088,1089,1090,1091,1092,1093,1094,1095,1096,1097,1098,1099,1100,1101,1102,1103,1104,1105,1106,1107,1108,1109,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1120,1121,1122,1123,1124,1125,1126,1127,1128,1129,1130,1131,1132,1133,1134,1135,1136,1137,1138,1139,1140,1141,1142,1143,1144,1145,1146,1147,1148,1149,1150,1151,1152,1153,1154,1155,1156,1157,1158,1159,1160,1161,1162,1163,1164,1165,1166,1167,1168,1169,1170,1171,1172,1173,1174,1175,1176,1177,1178,1179,1180,1181,1182,1183,1184,1185,1186,1187,1188,1189,1190,1191,1192,1193,1194,1195,1196,1197,1198,1199,1200,1201,1202
STEP,,,,,,,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2
UNIT,,,,,,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
HILIM,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
LOLIM,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C000000,1,1,18,0,1,,3.297618,5.023787,3.681124,3.844986,4.136803,3.718534,4.084966,3.796110,5.288462,4.601168,3.830154,3.617926,5.357881,4.725113,5.449536,5.142128,4.491212,3.780081,3.859183,3.680790,4.892296,4.212007,4.254231,3.792613,4.580138,4.915306,2.744066,3.642887,6.808574,6.403099,4.672148,5.387421,4.923636,5.220084,5.802937,4.606439,5.412918,5.964854,5.302238,3.932450,4.870736,6.118644,5.497740,6.933585,4.947976,3.545871,3.358545,4.684505,4.104816,5.264906,4.976138,4.605975,6.497008,3.795484,6.140107,3.874111,3.727839,4.492893,4.632732,4.937069,6.899825,5.069006,4.527808,5.692613,3.383911,5.336211,5.227232,4.480812,5.484456,4.880909,5.187177,5.111872,6.250987,4.732041,4.983929,5.002572,4.104841,4.999137,5.118166,5.024021,3.855739,5.690582,5.276215,5.026162,6.510417,3.645833,5.208333,4.166667,4.687500,3.645833,8.333333,6.250000,4.922635,3.577053,5.494589,5.531159,4.687500,4.687500,3.645833,3.645833,4.166667,3.645833,4.166667,3.645833,6.250000,7.291667,6.250000,6.250000,4.687500,4.687500,4.687500,6.250000,5.630255,7.505678,8.707271,9.177317,7.393039,6.131703,8.474293,8.900724,5.037927,4.237452,5.032208,6.129480,5.058307,5.863962,4.896085,5.443807,6.411510,3.578760,6.447190,5.945542,4.982083,5.227116,3.477985,5.436498,3.342317,5.921986,5.474577,5.575844,5.629805,8.592908,5.657062,6.216394,3.331743,3.161604,5.732674,4.433069,3.932418,4.130913,5.567369,4.504084,4.123053,4.211646,6.233114,5.414738,5.126367,5.014411,5.433776,4.867605,4.892867,4.803468,4.724544,6.332743,7.221885,5.959987,5.021006,8.082906,8.825069,5.601432,8.140564,6.677042,6.267411,8.507730,6.670385,6.442484,6.339624,7.199992,5.627594,4.803308,4.398747,5.163478,4.962142,6.540194,5.140730,5.011636,5.057028,5.124860,5.106676,5.028792,5.000000,5.000000,5.000000,6.666667,5.000000,5.000000,3.946217,6.315157,4.269484,4.674433,3.585435,5.451588
C000001,1,2,13,1,1,,3.598387,4.084231,3.730639,4.233923,4.023870,4.170851,3.945538,4.015289,3.842313,2.853902,5.604327,4.831824,3.193136,4.773401,3.561710,3.538872,4.284429,5.073129,3.419624,3.666596,3.169638,4.488406,3.306100,3.945419,5.177144,4.519332,5.719341,6.728294,5.178233,4.111799,6.300643,2.434461,4.252511,4.198271,6.261955,4.077322,2.872516,4.211683,6.147648,4.383374,4.376833,5.476979,5.507858,2.772607,4.093567,4.207210,4.468005,5.475157,5.939830,3.967332,5.589555,5.488458,5.984181,6.343718,5.638304,6.243578,4.747483,6.596757,3.704869,4.974635,5.126867,5.696603,3.961885,5.835998,3.568160,5.454595,3.784882,4.295226,4.796932,4.228927,7.107309,4.242918,4.281740,5.051797,4.983929,5.002572,4.996905,5.615369,6.623735,5.024021,4.235489,4.008770,4.551607,5.890562,4.947917,5.729167,4.166667,6.250000,4.166667,6.250000,6.250000,6.250000,5.126739,3.789067,4.174868,2.077664,4.687500,4.166667,3.645833,4.166667,5.729167,5.208333,3.645833,3.645833,8.333333,8.333333,7.291667,5.208333,4.687500,4.687500,4.687500,4.687500,5.445726,6.738089,8.460194,7.783892,5.383317,6.019654,8.361835,9.327181,6.842958,3.890732,5.608786,5.575201,6.038022,4.026711,5.438023,5.372166,6.236143,5.211440,4.675710,5.340498,5.904410,7.744154,4.918775,5.358060,3.732305,9.258230,4.080407,3.108005,3.009262,5.340716,5.690634,5.062163,4.683488,3.585978,4.315786,4.521278,4.650686,4.090815,4.602751,3.365040,3.908174,4.091412,5.017964,5.300971,5.602867,5.014411,3.755995,5.950138,4.423692,5.026966,6.839605,6.358739,6.049249,6.593742,8.455435,6.139086,6.938699,7.855412,5.588468,5.528281,7.303473,9.259808,7.323720,7.195914,7.669033,6.094165,3.472249,3.507399,5.296281,5.213953,4.631439,5.135573,4.999774,5.015964,4.951628,4.870219,5.024210,4.912270,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.014685,3.929456,3.559913,0.208333,5.617148,4.997393
C000002,1,3,14,1,1,,3.872412,4.530186,3.891349,3.927685,5.051341,4.366221,4.266544,3.827987,3.584490,4.278792,5.192414,5.412866,5.423640,5.448336,5.356810,3.516519,3.845929,2.640476,3.838725,3.665164,4.238422,3.871989,3.828954,3.661705,5.766962,1.683235,4.893579,5.543891,6.111355,2.545773,4.623920,5.723618,4.674751,5.455180,4.074279,7.588657,5.276663,6.240998,5.922725,4.539021,4.017759,4.893766,5.156810,5.480211,4.006881,5.062529,6.519954,4.635583,5.829425,3.627522,3.716242,4.908839,5.866155,3.363027,5.915055,5.984341,5.452435,5.492339,4.095192,4.203648,5.561586,5.283280,5.742699,4.738963,5.910981,4.691181,4.592402,5.412090,5.481064,4.643912,4.105589,4.180179,6.533120,6.190920,4.933699,5.002572,4.746391,5.035762,5.834254,2.764869,5.844697,4.972351,6.029985,3.658412,4.427083,4.687500,7.291667,4.166667,4.166667,5.208333,5.208333,4.166667,4.976973,3.868436,5.020479,4.663780,3.125000,3.645833,4.166667,4.166667,7.291667,3.645833,4.166667,4.166667,5.208333,7.291667,5.208333,5.208333,6.250000,4.687500,3.125000,4.687500,6.017135,6.698144,8.295375,9.080154,5.919015,6.866473,7.123616,8.123247,5.141586,7.217284,4.989572,5.289487,5.073949,2.525402,5.849933,7.153858,3.964998,5.815413,7.008384,5.358939,7.482319,5.391747,5.354866,6.061268,5.285606,4.288175,5.596418,3.030761,4.364676,5.161155,4.418690,3.184079,2.899005,4.590769,4.564018,4.525012,3.483135,3.971254,6.376840,4.116690,4.026176,3.690989,4.900429,4.117549,5.014410,5.014411,3.366855,3.719148,4.858465,4.413270,4.261660,4.684294,7.375652,7.110900,6.699431,6.376062,4.734656,6.756373,6.643447,4.654843,9.748915,6.881884,6.364157,5.897945,6.944024,7.228391,3.197769,5.255951,5.600552,5.221274,6.060310,5.351103,5.018263,5.029351,5.094898,5.093404,4.871508,5.088923,5.000000,6.666667,5.000000,5.000000,5.000000,5.000000,5.275360,5.660935,2.996441,5.021063,5.296229,6.059979
C000003,1,4,15,1,1,,3.296201,4.436278,4.624953,3.587971,5.060299,3.847692,4.379163,3.998285,6.123431,3.921986,3.064992,5.435005,4.422359,5.574651,4.516248,3.348594,5.601681,3.563146,4.192160,3.784962,4.201313,5.635893,3.244830,3.575510,6.827658,5.760799,6.501017,2.420679,5.349641,4.958571,4.320790,4.681480,5.596621,5.305584,8.793281,5.192558,5.338379,5.183147,4.258048,4.712113,5.262212,4.702279,5.240929,2.397366,5.923082,5.030546,5.484931,6.293772,6.676486,5.621288,6.075232,4.281370,6.507833,5.661809,4.005499,5.737001,4.885568,4.729096,5.494200,7.491216,5.033360,6.151437,4.597354,5.121295,4.719046,4.375204,5.595126,5.517506,6.597301,5.719927,4.751336,5.940244,4.572511,6.227411,4.088811,5.002572,6.303706,5.375586,4.997395,4.827154,4.038470,6.617080,4.442017,5.890562,3.645833,3.125000,5.208333,4.166667,5.208333,6.250000,6.250000,4.166667,5.201874,3.617399,3.623944,6.052535,4.687500,4.166667,3.645833,3.645833,5.729167,4.687500,4.166667,4.166667,4.166667,5.208333,7.291667,5.208333,6.250000,4.687500,4.687500,4.687500,5.851391,6.688940,7.798128,9.206581,5.952190,6.963506,7.861657,8.609475,3.588593,4.196771,6.129822,4.947468,7.384057,5.907364,7.237094,7.985365,4.657102,4.990673,5.768875,7.043459,6.284085,6.571906,5.356798,6.446540,2.453541,3.213259,4.118135,5.021840,2.828209,7.213301,4.854705,4.249605,6.893829,5.206001,4.268400,3.543113,3.862497,4.030081,6.676220,4.177048,4.266350,4.110950,5.652909,5.809164,4.146562,5.014411,4.202071,6.339007,4.998667,6.758596,6.213908,4.989465,5.854182,8.915300,7.331912,6.653940,6.802376,6.764906,4.377012,6.804075,6.896661,7.815641,7.918396,8.899728,6.473859,5.259105,5.213080,3.782095,5.113751,5.685325,5.018461,5.250766,5.291069,4.953193,5.170279,5.236109,5.045298,4.958767,5.000000,5.000000,5.000000,6.666667,5.000000,5.000000,5.421620,5.726630,4.481174,3.602471,9.791667,4.585122
